frame_id,time_s,tag0_x,tag0_y,tag0_z,tag0_roll,tag0_pitch,tag0_yaw,tag1_x,tag1_y,tag1_z,tag1_roll,tag1_pitch,tag1_yaw,tag2_x,tag2_y,tag2_z,tag2_roll,tag2_pitch,tag2_yaw,tag3_x,tag3_y,tag3_z,tag3_roll,tag3_pitch,tag3_yaw,tag4_x,tag4_y,tag4_z,tag4_roll,tag4_pitch,tag4_yaw,tag5_x,tag5_y,tag5_z,tag5_roll,tag5_pitch,tag5_yaw,tag6_x,tag6_y,tag6_z,tag6_roll,tag6_pitch,tag6_yaw,tag7_x,tag7_y,tag7_z,tag7_roll,tag7_pitch,tag7_yaw,tag8_x,tag8_y,tag8_z,tag8_roll,tag8_pitch,tag8_yaw,tag9_x,tag9_y,tag9_z,tag9_roll,tag9_pitch,tag9_yaw,tag10_x,tag10_y,tag10_z,tag10_roll,tag10_pitch,tag10_yaw,tag11_x,tag11_y,tag11_z,tag11_roll,tag11_pitch,tag11_yaw,tag12_x,tag12_y,tag12_z,tag12_roll,tag12_pitch,tag12_yaw,tag13_x,tag13_y,tag13_z,tag13_roll,tag13_pitch,tag13_yaw,tag14_x,tag14_y,tag14_z,tag14_roll,tag14_pitch,tag14_yaw,tag15_x,tag15_y,tag15_z,tag15_roll,tag15_pitch,tag15_yaw,tag16_x,tag16_y,tag16_z,tag16_roll,tag16_pitch,tag16_yaw,tag17_x,tag17_y,tag17_z,tag17_roll,tag17_pitch,tag17_yaw,left_disp_avg,left_visible_count,right_disp_avg,right_visible_count,tag0_missing,tag1_missing,tag2_missing,tag3_missing,tag4_missing,tag5_missing,tag6_missing,tag7_missing,tag8_missing,tag9_missing,tag10_missing,tag11_missing,tag12_missing,tag13_missing,tag14_missing,tag15_missing,tag16_missing,tag17_missing,velocity_m_s,roll_deg,pitch_deg,yaw_deg
0,3528254307.462142,-0.038148,0.017862,-0.038252,70.008185,-47.950358,-36.425081,-0.043800,0.002912,-0.009969,70.744872,-41.945611,-46.116466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031282,0.034023,-0.044440,71.299117,-58.704169,-35.694298,-0.039194,0.019823,-0.014779,70.952088,-44.331260,-42.097995,-0.037947,0.011510,0.002419,2.207632,0.881965,6.057940,-0.042757,0.001926,-0.034279,63.338273,-55.362191,-28.181947,-0.047575,-0.013903,-0.004904,58.734264,-43.188778,-28.047650,-0.047767,-0.023593,0.017159,53.442010,-61.869488,-29.251101,0.042625,-0.006399,-0.011656,0.053016,19.174522,2.114331,0.061826,0.006261,-0.035396,-2.806336,16.744837,3.844069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038171,0.000721,0.001470,3.642247,15.967015,7.489280,0.057854,0.014514,-0.025957,-2.688566,9.661677,1.193591,0.075565,0.024768,-0.046820,-4.662850,8.539456,4.840205,0.033770,0.010803,0.010033,9.262392,14.457102,13.566126,0.055833,0.025030,-0.021837,-0.220288,5.261268,6.968558,0.074549,0.035166,-0.041300,-1.257533,3.675398,1.675635,0.051589,8,0.063214,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000000,-1.480874,-22.970428,-33.763903
1,3528254307.562212,-0.038004,0.018035,-0.038788,68.516868,-48.118485,-36.155386,-0.043713,0.003423,-0.010295,69.711114,-42.342415,-45.582062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030739,0.034193,-0.045551,-4.905206,-4.759355,2.561646,-0.039536,0.019881,-0.014462,69.584907,-44.422389,-41.666242,-0.036973,0.012665,0.000869,63.371546,-57.248390,-33.531203,-0.042437,0.002379,-0.035007,62.882341,-55.828230,-28.706108,-0.047473,-0.013196,-0.005298,57.665708,-43.053715,-28.166789,-0.047539,-0.022487,0.016592,50.793542,-62.055772,-27.722483,0.043077,-0.006294,-0.012938,-1.154102,19.135911,0.597252,0.062364,0.006011,-0.036987,-3.979743,16.877571,2.812315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038571,0.000825,0.000515,2.813942,16.855234,6.477146,0.058103,0.013694,-0.026264,-2.723665,9.730839,1.084315,0.076092,0.023944,-0.048062,-5.211297,9.205745,4.226605,0.033667,0.010145,0.010955,9.524488,14.581865,13.174269,0.056632,0.025012,-0.023820,-1.158389,5.974113,6.252290,0.075221,0.034485,-0.042822,-1.592471,4.202620,1.891969,0.051549,8,0.063930,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002133,-1.762385,-23.221108,-33.508424
3,3528254307.765712,-0.036808,0.018448,-0.040194,69.746056,-48.820365,-36.945134,-0.043424,0.003571,-0.010864,70.600232,-43.302828,-46.117681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030948,0.033617,-0.044996,-4.440846,-5.749544,2.629566,-0.040624,0.019056,-0.012998,68.351349,-44.617236,-41.056119,-0.038379,0.011732,0.002692,2.933547,0.301566,5.347149,-0.042071,0.002317,-0.035373,63.149642,-55.994517,-28.647880,-0.047591,-0.013246,-0.005398,57.713581,-44.078976,-27.988561,-0.047221,-0.021895,0.015521,51.146760,-62.743938,-27.594677,0.042952,-0.006839,-0.011784,-0.971896,18.321307,1.026595,0.062981,0.006229,-0.037369,-4.728775,16.147096,2.600210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039116,0.001527,-0.000729,1.183902,16.217851,5.534930,0.058026,0.012724,-0.024334,-2.664254,8.188340,0.107955,0.076604,0.023599,-0.047547,-5.797378,7.608324,3.878072,0.033923,0.010491,0.010393,10.177900,13.918226,13.505495,0.057378,0.025488,-0.025082,-2.621529,6.120978,5.836355,0.075881,0.034473,-0.043082,-2.948385,3.325461,0.615705,0.051567,8,0.064192,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.010556,-1.318852,-23.162642,-33.998286
5,3528254307.964102,-0.056415,-0.002051,0.000598,-2.264964,-9.735498,4.471857,-0.038073,0.008335,0.020740,-5.372908,-16.413824,-2.567473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061100,0.001621,-0.017133,-2.177066,-12.512318,15.456359,-0.042021,0.017229,0.010053,-5.162804,-11.800518,-0.541867,-0.027588,0.022867,0.019501,-8.602302,-10.033641,14.003971,-0.052104,-0.008795,0.013970,-2.031095,-8.393777,13.000232,-0.030704,0.004178,0.040129,-45.853228,31.525697,-14.655169,-0.013527,0.013239,0.053791,-16.150256,-10.238012,19.586549,0.023424,-0.026636,-0.027530,-83.126921,47.645020,-50.914968,0.017552,-0.041130,-0.055831,-83.201686,48.572756,-46.204511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028236,-0.010082,-0.022436,-76.766529,51.258513,-44.800349,0.019767,-0.026807,-0.053536,-74.050846,44.110172,-35.981065,0.013326,-0.041874,-0.081243,-76.174231,48.166179,-34.594921,0.026197,0.002820,-0.025428,-66.686240,57.278062,-39.250906,0.015208,-0.018300,-0.061170,-69.599049,49.574101,-30.768455,0.013128,-0.030805,-0.085370,-68.275397,43.348157,-28.975555,0.051722,8,0.062906,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.014585,-1.632361,-23.133728,-33.764979
7,3528254308.165172,-0.037454,0.018330,-0.038891,70.189928,-47.738676,-36.946785,-0.042812,0.003847,-0.011499,72.403490,-42.636158,-47.454116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031569,0.033704,-0.043502,71.055420,-58.726667,-36.153297,-0.040337,0.019141,-0.013035,69.854267,-44.159753,-42.051003,-0.038652,0.011204,0.003385,2.693599,-0.053868,5.472406,-0.042728,0.002017,-0.034228,64.818533,-54.856462,-29.393094,-0.047327,-0.013344,-0.005685,59.339610,-43.549436,-28.757093,-0.048010,-0.023243,0.016646,15.498272,-1.320549,15.360692,0.042529,-0.006958,-0.010960,0.062554,18.501330,1.579214,0.062883,0.007485,-0.037760,-3.468156,16.614503,3.360876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037726,-0.000150,0.002925,2.816970,15.608596,6.027679,0.057780,0.013506,-0.024361,-2.339486,8.658383,1.105424,0.076328,0.024955,-0.047633,-4.949930,8.836975,5.389928,0.034469,0.011538,0.008121,8.898850,14.354554,13.272105,0.056245,0.024765,-0.021779,-0.871249,5.198001,6.328879,0.075012,0.034542,-0.040520,-0.454021,3.626155,2.313583,0.051502,8,0.063498,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017165,-1.691436,-23.538955,-33.733998
9,3528254308.363648,-0.037674,0.017288,-0.037741,72.575058,-49.293981,-38.952643,-0.043905,0.002476,-0.010201,72.878447,-43.871349,-47.440487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030140,0.033691,-0.044120,75.226575,-60.348927,-39.838235,-0.041227,0.017969,-0.011990,3.911079,-5.157710,-10.235107,-0.039567,0.010193,0.004014,3.182702,-1.967876,5.744440,-0.042357,0.001397,-0.034077,66.501278,-56.620210,-31.318171,-0.047821,-0.014245,-0.005506,62.793995,-44.580162,-30.957340,-0.049705,-0.024827,0.017793,53.470028,-63.337317,-29.443261,0.041883,-0.007810,-0.007917,0.433166,16.768798,2.007308,0.062986,0.007018,-0.034506,-3.946877,14.953321,3.331512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037956,0.000754,0.002381,2.178603,14.261431,6.656288,0.056913,0.011848,-0.019043,-1.053579,5.469640,0.753697,0.076007,0.023212,-0.041329,-3.182720,6.555151,5.121260,0.032596,0.009709,0.012953,8.990527,11.924986,12.945949,0.056661,0.025463,-0.021230,-1.618718,5.130460,7.071209,0.075453,0.034844,-0.038317,-1.956777,2.292669,2.057438,0.051861,8,0.062230,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.057879,30.439720,6.604238,6.361203
11,3528254308.568860,-0.037791,0.017661,-0.038459,68.935866,-48.237538,-35.997576,-0.042727,0.003904,-0.011670,72.174684,-43.418556,-47.490588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030981,0.033542,-0.044366,70.608002,-59.519471,-35.496218,-0.040473,0.018983,-0.012990,69.218990,-44.066760,-41.305256,-0.038605,0.011385,0.003216,60.878124,-57.097925,-31.988440,-0.040483,0.003369,-0.037057,65.856110,-56.776415,-30.817482,-0.047892,-0.013679,-0.004885,58.421836,-43.216913,-27.756765,-0.048178,-0.022946,0.016900,51.771139,-63.071640,-28.366657,0.042537,-0.007189,-0.010693,-0.627839,18.348031,1.630311,0.062560,0.005862,-0.035798,-4.484777,16.099232,2.475829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038487,0.000913,0.000857,1.328107,15.872643,5.764910,0.058145,0.013463,-0.025032,-3.021144,8.781014,0.673245,0.076693,0.024517,-0.048151,-5.953542,9.410859,4.929105,0.034250,0.011203,0.008858,7.170133,14.202917,12.624145,0.056191,0.024044,-0.021076,-0.946203,4.484961,6.231136,0.075152,0.033579,-0.039952,-1.606297,2.297558,1.308353,0.051600,8,0.063383,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.029346,-1.429816,-22.698906,-33.749623
13,3528254308.756452,-0.038457,0.017341,-0.037883,68.328755,-48.262192,-35.763679,-0.041881,0.004512,-0.012681,71.827949,-43.691067,-47.269901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030760,0.033773,-0.045184,70.957573,-59.168266,-35.578544,-0.039476,0.019617,-0.014324,69.518881,-44.378194,-41.623572,-0.038043,0.011703,0.002715,60.773350,-57.580201,-31.924164,-0.042634,0.001876,-0.034356,62.918623,-55.828050,-28.342581,-0.047986,-0.013821,-0.004309,10.725118,-12.227996,-3.892159,-0.047741,-0.022754,0.017120,51.644631,-62.428994,-28.470429,0.042803,-0.006420,-0.012464,-1.109957,19.429825,1.180119,0.062364,0.006297,-0.037343,-4.379772,16.928977,3.082062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038270,0.000654,0.001080,1.018034,16.608569,5.856368,0.058140,0.014092,-0.026977,-3.571179,10.361216,0.931867,0.075916,0.024026,-0.048184,-6.356383,10.046798,4.603931,0.033605,0.010328,0.010628,8.636837,14.329022,12.917598,0.055694,0.023706,-0.021013,-0.756974,4.878156,6.044316,0.074930,0.034156,-0.042294,-2.592045,3.436546,1.659130,0.051461,8,0.063545,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.020151,-1.776240,-22.435127,-33.621360
15,3528254308.963377,-0.039331,0.016811,-0.035835,69.679927,-47.818462,-36.395997,-0.044582,0.002377,-0.008714,71.291558,-42.526124,-46.985368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032022,0.033106,-0.042186,-3.818648,-6.570212,2.742880,-0.040551,0.018784,-0.012345,70.871255,-43.981743,-42.414583,-0.038488,0.011126,0.003291,3.045315,0.173527,5.343672,-0.041531,0.002775,-0.035214,67.179265,-56.469967,-31.474246,-0.049156,-0.014927,-0.002983,58.338019,-42.863020,-28.180989,-0.049531,-0.024584,0.018861,53.062770,-62.072837,-29.295975,0.043377,-0.005061,-0.013896,-0.966857,19.392779,1.753030,0.062275,0.006414,-0.035494,-3.554993,16.698955,2.922041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037844,0.000275,0.002156,2.966194,15.688784,6.443666,0.057805,0.013749,-0.024568,-2.925261,9.332810,0.313087,0.076228,0.024945,-0.047094,-5.749209,9.851077,4.661195,0.033019,0.009675,0.011994,9.417052,13.378733,12.691740,0.055844,0.024163,-0.020376,-0.700036,4.341622,5.868980,0.074700,0.033961,-0.038998,-0.683418,2.235245,2.032773,0.051839,8,0.063058,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.021641,30.254436,7.570557,6.337642
17,3528254309.163375,-0.039476,0.016665,-0.035552,70.117368,-48.097627,-36.767155,-0.043054,0.003369,-0.010971,73.403859,-43.481723,-48.310253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030360,0.034208,-0.044062,74.727582,-59.587471,-39.284520,-0.039689,0.019261,-0.013652,73.107096,-44.541160,-43.348395,-0.039222,0.010448,0.004188,3.635681,-0.205686,5.563359,-0.041847,0.002415,-0.034768,67.772287,-56.043566,-31.061856,-0.048116,-0.014294,-0.004659,59.454997,-43.828297,-29.114568,-0.048815,-0.024215,0.017324,54.780918,-62.718029,-30.356556,0.042873,-0.005875,-0.011904,-0.214180,18.964201,1.902695,0.061942,0.005853,-0.033349,-1.937744,16.108706,3.985948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038055,0.000781,0.001665,2.973561,15.629070,6.969510,0.057105,0.012589,-0.021261,-1.327419,8.024034,1.360357,0.076045,0.024629,-0.044828,-4.633807,8.133688,5.190312,0.032866,0.009687,0.012316,9.902133,13.095072,13.401178,0.055990,0.024765,-0.020420,-0.804744,5.246841,6.629962,0.074765,0.034384,-0.038183,-0.163020,2.833515,2.467212,0.051597,8,0.062389,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.025334,-1.812412,-23.370113,-33.755976
